,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
0,213870122,Chokepoints: American Power in the Age of Economic Warfare,Edward Fishman,"Fishman, Edward",,0593712978,9780593712979,0,4.36,Portfolio,Hardcover,560.0,2025.0,2025.0,,2026/03/22,to-read,to-read (#3145),to-read,,,,0,0
1,6117055,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,"Dawkins, Richard",,059306173X,9780593061732,0,4.16,Bantam Press,Hardcover,470.0,2009.0,2009.0,,2026/03/21,to-read,to-read (#3144),to-read,,,,0,0
2,39813875,Reinforcement Learning: An Introduction,Richard S. Sutton,"Sutton, Richard S.",Andrew G. Barto,0262039249,9780262039246,5,4.54,Bradford Books,Hardcover,552.0,2018.0,,2025/06/10,2026/03/21,,,read,,,,1,0
3,10211254,Handbook of Functional MRI Data Analysis,Russell A. Poldrack,"Poldrack, Russell A.","Jeanette Mumford, Thomas M. Nichols",0521517664,9780521517669,5,4.36,Cambridge University Press,Hardcover,238.0,2011.0,2011.0,2025/04/05,2026/03/21,,,read,,,,1,0
4,241131064,처음이라는 도파민,김의경,"김의경, 김의경","김하율, 조영주, 정해연",,9791199242500,3,3.0,마티스블루,Paperback,256.0,2025.0,,2026/03/20,2026/03/21,,,read,,,,1,0
5,20821042,80/20 Running: Run Stronger and Race Faster by Training Slower,Matt Fitzgerald,"Fitzgerald, Matt",Robert Johnson,0451470885,9780451470881,4,3.94,Berkley,Paperback,272.0,2014.0,2014.0,2026/03/15,2026/03/21,,,read,,,,1,0
6,59808605,Strangers to Ourselves: Unsettled Minds and the Stories That Make Us,Rachel Aviv,"Aviv, Rachel",,0374600848,9780374600846,3,4.1,"Farrar, Straus and Giroux",Hardcover,288.0,2022.0,2022.0,2026/03/07,2024/07/25,,,read,,,,1,0
7,6745893,The New Executive Brain: Frontal Lobes in a Complex World,Elkhonon Goldberg,"Goldberg, Elkhonon",,0195329406,9780195329407,5,4.12,Oxford University Press,Paperback,334.0,2009.0,2009.0,2026/02/28,2022/09/29,,,read,,,,1,0
8,217288823,시한부,Eun Byeol Baek,"Baek, Eun Byeol",백은별,,9791193647646,2,3.75,바른북스,Paperback,312.0,2024.0,2024.0,2026/02/18,2026/03/21,,,read,,,,1,0
9,198493988,Then I Am Myself the World: What Consciousness Is and How to Expand It,Christof Koch,"Koch, Christof",,1541602803,9781541602809,4,4.0,Basic Books,Hardcover,288.0,2024.0,2024.0,2026/02/16,2025/04/29,,,read,,,,1,0
10,212294438,Shift: Managing Your Emotions—So They Don't Manage You,Ethan Kross,"Kross, Ethan",,0593444418,9780593444412,5,3.84,Crown,Hardcover,288.0,2025.0,,2026/01/29,2026/03/21,,,read,,,,1,0
11,55411738,Projections: A Story of Human Emotions,Karl Deisseroth,"Deisseroth, Karl",,1984853694,9781984853691,4,4.01,Random House,Hardcover,256.0,2021.0,2021.0,2026/02/14,2022/12/10,,,read,,,,1,0
12,55120630,"The Comfort Crisis: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self",Michael Easter,"Easter, Michael",,0593138767,9780593138762,5,4.24,Rodale Books,Hardcover,304.0,2021.0,2021.0,2026/01/24,2023/08/04,,,read,,,,1,0
